strain	clade	Meas_OGT	mlm_all	mlm_Pro	mlm_Arg	mlm_Ali	mlm_Aro	mlm_Aci	mlm_Gra	mlm_best
1	Colwellia piezophila ATCC BAA-637	Clade C	15	17.4565411526348	13.5097430078035	10.0185125166638	19.7132738837551	17.4505150758108	11.7715102686311	18.5754527737746	19.2038281877894
2	Colwellia marinimaniae strain MTCD1	Clade C	6	11.1470275197988	11.8026668474758	12.0212931594213	14.3707633962526	11.4390437966696	8.2780979978123	14.9224710406014	13.5888357072791
3	Colwellia psychrerythraea 34H	Clade C	9	15.0082869715117	13.0638557664893	11.7296860344704	15.9729186482326	10.9951269447214	15.5674514788702	14.8711350305595	16.2366197130241
4	Thalassotalea sp. LPB0090	Other Colwelliaceae	25	32.9923071330228	17.038309943045	12.5251621180279	32.5469782440778	16.065045953178	26.3151160196297	26.7674125420228	33.1822551699928
5	Colwellia BRX9.1	Clade A1	9.80000000000007	9.72437668069003	11.1821211031234	11.4816653361809	9.90045659920861	12.5886501834072	13.8917072594941	11.407355731261	9.27591314087563
6	Colwellia sp. PAMC 20917	Clade A1	10	10.5903694791182	10.3525108175663	11.7572002781882	12.3443004034083	11.7937656957503	15.0108589819689	14.8513681564267	10.3541625459467
7	Cognaticolwellia sediminilitoris strain KCTC 52213	Clade B	30	14.609810004271	14.2901667404287	13.3217667075992	14.1260090684983	11.2168328485639	15.438401629868	12.954943106776	14.8446628909364
8	Cognaticolwellia mytili strain KCTC 52417	Clade B	20	17.0738505280484	9.8030147552536	13.0859982083751	16.148590250874	12.106473886041	13.7621373485126	14.5115883764458	16.8244127426265
9	Pseudocolwellia agarivorans strain QM50	Other Colwelliaceae	29	20.1942344565985	19.5616507795631	7.55292018748914	25.4110986115494	21.3885352098248	19.0162012802171	25.5642985288581	22.5926319442512
10	Cognaticolwellia beringensis strain NB097-1	Clade B	11.5	16.1393413241029	16.0406064439033	14.5479297069775	14.7390451855238	11.802177312532	14.013690174569	12.2553453969045	16.4292988073908
11	Colwellia echini strain A3T	Clade C	20	10.4595292943575	13.4381252175296	11.3144424506852	15.2845177992843	4.2700816159612	19.0096761694751	16.7213442032842	13.56236282743
12	Colwellia Bg11-28	Clade C	10.7	16.435324532319	11.6051010474074	11.5751060672748	16.3228904889614	13.7154299284138	15.3524956248903	15.2708596548617	16.4695991327108
13	Litorilituus sp. RZ04	Other Colwelliaceae	25	19.5721027441122	10.0258738928042	10.0531346742722	20.6556788654376	17.2915342486485	17.9901366340535	20.7505788726251	18.9076885635186
14	Thalassotalea sp. ZS-4	Other Colwelliaceae	37	40.146539268479	33.9603412599862	29.7891150358407	31.2415249678942	19.1966500283552	20.7652114091426	21.5607878700835	35.4361881307223
15	Colwellia MB02u-1	Clade B	8.20000000000005	9.15510494324853	14.3996461354697	15.1561168314304	7.73453537648822	9.41167755019393	8.67643309731039	6.73251164728049	9.68401033734635
16	Colwellia MB02u-6	Clade B	7.25000000000006	9.13231793193921	14.8465245706429	15.241588037805	7.47498242359597	10.5773946592771	7.34496814197723	6.31680906137913	9.61145519973126
17	Colwellia MB02u-7	Clade A2	6.10000000000002	9.75948176639118	9.01290208947646	10.5711240720872	10.3094631881221	16.3732277746207	11.3857707007649	12.9129821670678	8.67534470715424
