Clade	j	b	Tmin	c	Tmax	topt	resid
5	Clade A1	5	0.416297192062135	262.415288240368	0.0120265495333326	298.649943317798	8.5	1.52630431458828e-15
7	Clade A1	7	0.122309753577757	255.867487999803	0.0366705506103914	299.243368878817	8.30000000000001	1.49777274618757e-15
13	Clade A1	13	0.247462745574687	262.473074471136	0.0312489056492856	294.173922172434	7.10000000000002	2.70185951914702e-15
14	Clade A1	14	0.0394283102964913	237.343104553348	0.11948037883421	298.182894793725	9.60000000000002	2.71947991102104e-16
16	Clade A1	16	0.201113483093799	262.231721413504	0.0364470484935011	296.545352743559	8.80000000000001	1.45180499073994e-15
19	Clade A1	19	0.112684192912981	260.235214515385	0.0758558848667948	295.405876224755	9.39999999999998	1.65419505046575e-15
28	Clade A1	28	0.0686791996288509	250.8996618725	0.0884989631828589	296.374936891933	8.60000000000002	3.56137673403932e-15
36	Clade A1	36	0.0769020515719515	257.703210656034	0.243693302583768	291.809464713187	10.6	1.61364719961073e-15
37	Clade A1	37	0.129453755285522	259.13189717757	0.0474971590868862	296.041768062142	8	1.5622222714862e-15
40	Clade A1	40	0.0216285591101416	207.424341665468	0.311916251526418	294.297247722107	11	1.45180499073994e-15
44	Clade A1	44	0.0463964765228969	240.739982948957	0.0752163378689067	301.027747177134	9.19999999999999	1.42177919158667e-15
45	Clade A1	45	0.0560806020850333	248.810054144536	0.129244322946048	295.13522162419	9.19999999999999	1.09906472107864e-15
46	Clade A1	46	0.188830174256317	261.809584668033	0.046584151609277	292.182591649596	6.39999999999998	1.49365231817119e-15
52	Clade A1	52	0.0157691460776556	193.076383358815	0.146698469187733	301.440830314508	10.3	1.57009245868378e-16
53	Clade A1	53	0.0623258020875273	248.634882460421	0.0735853773555829	298.278604334515	8.60000000000002	1.02357505330418e-15
54	Clade A1	54	0.0250915259745855	221.695805809103	0.366191769546706	292.689326610985	11	1.43119762584101e-14
55	Clade A1	55	0.0498790203185807	243.621684944358	0.0735588257482855	300.529944927698	9.19999999999999	9.74216750314852e-16
56	Clade A1	56	0.229181042326221	264.76015077113	0.0544031163567147	292.633776231548	8	3.16948743331218e-15
