strain	replicate	temp	mumax/day	r2
Bg11-12	1	-1	1.3668585071441	0.990187030346894
Bg11-12	2	-1	1.30499883617072	0.994227919715439
Bg11-12	3	-1	1.18951454500429	0.995628154976972
Bg11-12	4	-1	1.08393408740033	0.99696858683123
Bg11-12	5	-1	1.17474885482021	0.996743671492985
Bg11-12	6	-1	1.15291321930355	0.995985065788936
Bg11-12	7	-1	1.3351740405966	0.99427436669569
Bg11-12	8	-1	1.42687178917792	0.99309050885674
Bg11-12	1	4	2.01986619276803	0.996076890088228
Bg11-12	2	4	2.2158575832949	0.914667159920718
Bg11-12	3	4	2.15268121857499	0.921222651076122
Bg11-12	4	4	2.1111320895622	0.90155884809867
Bg11-12	5	4	2.1283914026651	0.898702236436913
Bg11-12	6	4	2.04217112646406	0.904889010404467
Bg11-12	7	4	2.13993392662584	0.906179250975555
Bg11-12	8	4	2.01259599431718	0.990888905407871
Bg11-12	1	11	2.8224776489707	0.983823464623622
Bg11-12	2	11	2.82757872475531	0.983520736162149
Bg11-12	3	11	2.79256398092556	0.978995659330383
Bg11-12	4	11	2.78980175955383	0.973476287167596
Bg11-12	5	11	2.79920738273616	0.979473628217015
Bg11-12	6	11	2.75841742373898	0.977046380745568
Bg11-12	7	11	2.79091295531142	0.980396362019622
Bg11-12	8	11	2.63970856095189	0.975061481738109
Bg11-12	1	17	2.06237623988379	0.993288255053309
Bg11-12	2	17	2.64578624782804	0.993092728977715
Bg11-12	3	17	2.53305599510051	0.994840035366056
Bg11-12	4	17	2.56136350453322	0.995445193696006
Bg11-12	5	17	2.45461858788848	0.994851051720236
Bg11-12	6	17	2.34799859467114	0.995913207078241
Bg11-12	7	17	2.50211507721276	0.994287846752552
Bg11-12	8	17	2.19709164266662	0.997115480793437
Bg11-28	1	-1	1.4058202284915	0.996796185671397
Bg11-28	2	-1	1.39609076542197	0.995945472829513
Bg11-28	3	-1	1.37013487014609	0.994208336919541
Bg11-28	4	-1	1.58040767751296	0.995048621967058
Bg11-28	5	-1	1.40720624526964	0.991459669262968
Bg11-28	6	-1	1.2741690284798	0.996552034827241
Bg11-28	7	-1	1.3737342726602	0.99761839383416
Bg11-28	8	-1	1.30570232162426	0.997108985543947
Bg11-28	1	4	1.76419733763157	0.993228542033793
Bg11-28	2	4	2.14856835354195	0.916659464762093
Bg11-28	3	4	1.67607936599729	0.88140251567079
Bg11-28	4	4	1.67255563176402	0.892140087444096
Bg11-28	5	4	1.81622884565431	0.900857099666572
Bg11-28	6	4	1.82213551272596	0.905767768743375
Bg11-28	7	4	2.11161564911259	0.910340311882895
Bg11-28	8	4	1.78081939332383	0.991242539912138
Bg11-28	1	11	2.32671127577792	0.982594670414631
Bg11-28	2	11	2.44283276974289	0.982357862317843
Bg11-28	3	11	2.59333102244273	0.978383324372825
Bg11-28	4	11	2.69409832777682	0.966527658793702
Bg11-28	5	11	2.72625708231413	0.970611409564248
Bg11-28	6	11	2.60062713798807	0.971559233794075
Bg11-28	7	11	2.379883020561	0.980205294663106
Bg11-28	8	11	2.46246224629832	0.97435649343691
Bg11-28	1	17	0.564703704601356	0.992897750725021
Bg11-28	2	17	1.07871067825154	0.987755966157019
Bg11-28	3	17	0.816796462421174	0.986188813503643
Bg11-28	4	17	0.925557751031193	0.991413421315797
Bg11-28	5	17	0.944924312887079	0.986536777457595
Bg11-28	6	17	0.812133618587065	0.990591170727079
Bg11-28	7	17	0.659343924496163	0.993742909625021
Bg11-28	8	17	0.493454208687942	0.992347548382731
BRX10.1	1	-1	1.799975966154	0.98283608616678
BRX10.1	2	-1	1.65427373030966	0.971347882132248
BRX10.1	3	-1	1.54871807800499	0.975819109571507
BRX10.1	4	-1	1.50286669500185	0.965867694588994
BRX10.1	5	-1	1.59913584277784	0.967415511456822
BRX10.1	6	-1	1.61329893309231	0.971721831135869
BRX10.1	7	-1	1.5686175460469	0.964968958750213
BRX10.1	8	-1	1.75178496589007	0.994299423759011
BRX10.1	1	4	2.18460855611081	0.977418328733357
BRX10.1	2	4	1.98855659197519	0.983810773542536
BRX10.1	3	4	1.90625950992683	0.980755626031575
BRX10.1	4	4	1.72226588321923	0.968923707660476
BRX10.1	5	4	1.6633440611445	0.956380313544879
BRX10.1	6	4	1.81298472660822	0.984426276815072
BRX10.1	7	4	1.98433487613597	0.967983738534429
BRX10.1	8	4	1.97782728710424	0.987656453580595
BRX10.1	1	11	2.17692972687398	0.989797653485803
BRX10.1	2	11	2.08761790716008	0.987992890827337
BRX10.1	3	11	2.19759879598801	0.988793497759174
BRX10.1	4	11	2.23331439272222	0.988330202111182
BRX10.1	5	11	2.27348316127889	0.987692384221428
BRX10.1	6	11	2.13390311411745	0.989532160052891
BRX10.1	7	11	2.16151208285887	0.986426777047441
BRX10.1	8	11	2.04957134468731	0.992358344805781
BRX10.1	1	17	1.43731073135102	0.99570701688158
BRX10.1	2	17	1.35968004709341	0.995312697223802
BRX10.1	3	17	1.64924468366913	0.992056112955233
BRX10.1	4	17	1.25814513836747	0.994904556533733
BRX10.1	5	17	2.19701936921518	0.98697273782223
BRX10.1	6	17	1.71231466324595	0.993892252114277
BRX10.1	7	17	1.667466178906	0.991190801754008
BRX10.1	8	17	1.5473759357633	0.990304735733987
BRX10.2	1	-1	1.83154151277941	0.983088716809897
BRX10.2	2	-1	1.67935477345975	0.99043121526185
BRX10.2	3	-1	1.59080268758349	0.979583507233981
BRX10.2	4	-1	1.36881583323242	0.965627404890904
BRX10.2	5	-1	1.2098984301365	0.980399804255274
BRX10.2	6	-1	1.31984757747383	0.987373503734393
BRX10.2	7	-1	1.34863890719108	0.979689045699061
BRX10.2	8	-1	1.62746948739363	0.985549012756987
