strn.	MAD
1.	Colwellia BRX10.1.	1.63086
2.	Colwellia BRX10.2.	1.33433999999997
3.	Colwellia BRX10.3.	1.92737999999985
4.	Colwellia BRX10.4.	1.63085999999995
5.	Colwellia BRX10.5.	1.4826
6.	Colwellia BRX10.6.	1.4826
7.	Colwellia BRX10.7.	1.4826
8.	Colwellia BRX10.8.	1.63085999999987
9.	Colwellia BRX10.9.	0.889560000000028
10.	Colwellia BRX8.1.	1.4826
11.	Colwellia BRX8.2.	1.63086000000005
12.	Colwellia BRX8.3.	1.4826
13.	Colwellia BRX8.4.	1.77912
14.	Colwellia BRX8.5.	1.63086000000007
15.	Colwellia BRX8.6.	1.4826
16.	Colwellia BRX8.7.	0.7413
17.	Colwellia BRX8.8.	1.18608000000015
18.	Colwellia BRX8.9.	1.4826
19.	Colwellia BRX9.1.	1.48260000000004
20.	Colwellia Bg11-12.	0.889559999999999
21.	Colwellia Bg11-28.	1.33434
22.	Colwellia MB02u-1.	1.33433999999995
23.	Colwellia MB02u-10.	1.03782000000006
24.	Colwellia MB02u-11.	0.59303999999997
25.	Colwellia MB02u-12.	1.1860800000001
26.	Colwellia MB02u-14.	1.03782000000007
27.	Colwellia MB02u-18.	1.77912
28.	Colwellia MB02u-19.	1.1860800000001
29.	Colwellia MB02u-6.	1.11195000000009
30.	Colwellia MB02u-7.	0.7413
31.	Colwellia MB02u-9.	1.40846999999999
32.	Colwellia MB3u-22.	0.7413
33.	Colwellia MB3u-28.	0.7413
34.	Colwellia MB3u-4.	1.18608000000011
35.	Colwellia MB3u-41.	1.33434000000005
36.	Colwellia MB3u-43.	1.18607999999993
37.	Colwellia MB3u-45.	1.03782000000008
38.	Colwellia MB3u-55.	0.444779999999925
39.	Colwellia MB3u-64.	0.444780000000104
40.	Colwellia MB3u-70.	1.4826
41.	Colwellia MB3u-8.	1.18608000000003
